Date,Close ,Open,High,Low,Vol.,Change %
07-09-2025,"25,114.00","24,802.60","25,138.55","24,752.10",1.13B,1.51%
31-08-2025,"24,741.00","24,432.70","24,980.75","24,432.70",1.37B,1.29%
24-08-2025,"24,426.85","24,949.15","25,021.55","24,404.70",1.62B,-1.78%
17-08-2025,"24,870.10","24,938.20","25,153.65","24,852.85",1.34B,0.97%
10-08-2025,"24,631.30","24,371.50","24,702.60","24,347.45",984.32M,1.10%
03-08-2025,"24,363.30","24,596.05","24,736.25","24,337.50",1.67B,-0.82%
27-07-2025,"24,565.35","24,782.45","24,956.50","24,535.05",1.40B,-1.09%
20-07-2025,"24,837.00","24,999.00","25,246.25","24,806.35",1.68B,-0.53%
13-07-2025,"24,968.40","25,149.50","25,255.30","24,918.65",1.29B,-0.72%
06-07-2025,"25,149.85","25,450.45","25,548.70","25,129.00",1.12B,-1.22%
29-06-2025,"25,461.00","25,661.65","25,669.35","25,331.65",1.33B,-0.69%
22-06-2025,"25,637.80","24,939.75","25,654.20","24,824.85",1.95B,2.09%
15-06-2025,"25,112.40","24,732.35","25,136.20","24,703.60",1.64B,1.59%
08-06-2025,"24,718.60","25,160.10","25,222.40","24,473.00",1.53B,-1.14%
01-06-2025,"25,003.05","24,669.70","25,029.50","24,502.15",1.67B,1.02%
25-05-2025,"24,750.70","24,919.35","25,079.20","24,677.30",2.71B,-0.41%
18-05-2025,"24,853.15","25,005.35","25,062.95","24,462.40",1.68B,-0.67%
11-05-2025,"25,019.80","24,420.10","25,116.25","24,378.85",2.07B,4.21%
04-05-2025,"24,008.00","24,419.50","24,526.40","23,935.75",1.67B,-1.39%
27-04-2025,"24,346.70","24,070.25","24,589.15","24,054.05",1.52B,1.28%
20-04-2025,"24,039.35","23,949.15","24,365.45","23,847.85",2.01B,0.79%
13-04-2025,"23,851.65","23,368.35","23,872.35","23,207.00",1.24B,4.48%
06-04-2025,"22,828.55","21,758.40","22,923.90","21,743.65",1.90B,-0.33%
30-03-2025,"22,904.45","23,341.10","23,565.15","22,857.45",1.41B,-2.61%
23-03-2025,"23,519.35","23,515.40","23,869.60","23,412.20",1.73B,0.72%
16-03-2025,"23,350.40","22,353.15","23,402.70","22,353.15",1.70B,4.26%
09-03-2025,"22,397.20","22,521.85","22,676.75","22,314.70",1.30B,-0.69%
02-03-2025,"22,552.50","22,194.55","22,633.80","21,964.60",1.50B,1.93%
23-02-2025,"22,124.70","22,609.35","22,668.05","22,104.85",1.31B,-2.94%
16-02-2025,"22,795.90","22,809.90","23,049.95","22,720.30",1.11B,-0.58%
09-02-2025,"22,929.25","23,543.80","23,568.60","22,774.85",1.30B,-2.68%
02-02-2025,"23,559.95","23,528.60","23,807.30","23,222.00",1.93B,0.22%
26-01-2025,"23,508.40","22,940.15","23,546.80","22,786.90",1.51B,1.80%
19-01-2025,"23,092.20","23,290.40","23,426.30","22,976.85",1.43B,-0.48%
12-01-2025,"23,203.20","23,195.40","23,391.65","23,047.25",1.43B,-0.97%
05-01-2025,"23,431.50","24,045.80","24,089.95","23,344.35",1.34B,-2.39%
29-12-2024,"24,004.75","23,796.90","24,226.70","23,460.45",1.31B,0.80%
22-12-2024,"23,813.40","23,738.20","23,938.85","23,647.20",721.93M,0.96%
15-12-2024,"23,587.50","24,753.40","24,781.25","23,537.35",1.40B,-4.77%
08-12-2024,"24,768.30","24,633.90","24,792.30","24,180.80",1.27B,0.37%
01-12-2024,"24,677.80","24,140.85","24,857.75","24,008.65",1.50B,2.27%
24-11-2024,"24,131.10","24,253.55","24,354.55","23,873.35",1.86B,0.94%
17-11-2024,"23,907.25","23,605.30","23,956.10","23,263.15",1.35B,1.59%
10-11-2024,"23,532.70","24,087.25","24,336.80","23,484.15",1.09B,-2.55%
03-11-2024,"24,148.20","24,315.75","24,537.60","23,816.15",1.55B,-0.64%
27-10-2024,"24,304.35","24,251.10","24,498.20","24,134.90",1.22B,0.51%
20-10-2024,"24,180.80","24,956.15","24,978.30","24,073.90",1.40B,-2.71%
13-10-2024,"24,854.05","25,023.45","25,212.05","24,567.65",1.23B,-0.44%
06-10-2024,"24,964.25","25,084.10","25,234.05","24,694.35",1.47B,-0.20%
29-09-2024,"25,014.60","26,061.30","26,134.70","24,966.80",1.39B,-4.45%
22-09-2024,"26,178.95","25,872.55","26,277.35","25,847.35",1.73B,1.50%
15-09-2024,"25,790.95","25,406.65","25,849.25","25,285.55",1.45B,1.71%
